来源ID	来源类型	标题或路径	日期（口径）	项目阶段	主要内容	含用户原始表达	是否完整读取	是否纳入分析	可靠性	备注
S-COWORK2-23	Cowork历史会话原文（一手·流2）	local_d60cd0ee 「ProjectVL 奖励曲线调整方案」	约07-21	P5	万能卡星级曲线；**与掉落密度无关，不能用于填补空白3**	部分	是	是	中	本轮补读/首读，见 14_USER_QUOTES_COWORK.md
S-COWORK2-24	Cowork历史会话原文（一手·流2）	local_4cb3e3d0 「Build system synergy design」	约07-16	P5	构筑协同早期思路	部分	是	是	中	本轮补读/首读，见 14_USER_QUOTES_COWORK.md
S-COWORK2-25	Cowork历史会话原文（一手·流2）	local_e874bca4 「Bounty system redesign」	约07-16	P5	精英Bounty六点构想完整原文（TU-47，与 RQ-3-05 互证）	是	是	是	高	本轮补读/首读，见 14_USER_QUOTES_COWORK.md
S-COWORK2-26	Cowork历史会话原文（一手·流2）	local_79464184 「mergeRule 断路分析与退役方案」	约07-24	P6	断路桩退役判断链	部分	是	是	中	本轮补读/首读，见 14_USER_QUOTES_COWORK.md
S-COWORK2-27	Cowork历史会话原文（一手·流2）	local_c01f1c73 「ProjectVL visual identity redesign」	约07-24	P7	**视觉编码体系需求原文**（TU-52）：敌人无色化+技能专属几何图标；上一轮完全未覆盖此主题	是	是	是	高	本轮补读/首读，见 14_USER_QUOTES_COWORK.md
S-COWORK2-28	Cowork历史会话原文（一手·流2）	local_33ec9562 「ProjectVL card UI redesign plan」	约07-24	P7	卡面UI重设计；提到「魅魔」题材已敲定	部分	是	是	中高	本轮补读/首读，见 14_USER_QUOTES_COWORK.md
S-COWORK2-29	Cowork历史会话原文（一手·流2）	local_eceadb9c 「Clicker defense game numbers」	P0立项期（序号推断，无绝对日期）	P0	**用体验目标反推数值的最早文字证据**（TU-50）：核心体验定义+TTK/波次/点击频率/成长/失败压力五要素+3种调参方向+「不要写概念，要写设计逻辑」	是（完整首条指令）	是	是	高（内容）／低（时间）	本轮补读/首读，见 14_USER_QUOTES_COWORK.md
S-COWORK2-30	Cowork历史会话原文（一手·流2）	local_3d8019a7 「Game mechanic theme designs」	P0立项期	P0	题材排除标准与7要素评判框架（TU-51）；**AI推荐的是「故障邮件服务器管理员」，不是最终采用的魅魔**	是（完整首条指令）	是	是	高（内容）／低（时间）	本轮补读/首读，见 14_USER_QUOTES_COWORK.md
S-COWORK2-31	Cowork历史会话原文（一手·流2）	local_bb4aa60f 「Game prototype core logic」	P0立项期	P0/P1	**卡牌三原则（废除纯数值卡/星级质变/一卡两用）的独立第二出处**（TU-46），与 S-RAW-01 RQ-1-01 逐字互证；并含「请作为合作者主动给意见」	是（完整首条指令）	是	是	高	本轮补读/首读，见 14_USER_QUOTES_COWORK.md
S-COWORK2-32	Cowork历史会话原文（一手·流2）	local_8c0c85b1 「Game development issues analysis」	—	—	**核实后与ProjectVL无关**（另一项目 C:\moyu 摸鱼题材小游戏）。上一轮把它列为P0立项期会话是误判，应剔除	否	是（已核实并排除）	否（已排除）	不适用	本轮补读/首读，见 14_USER_QUOTES_COWORK.md
S-USER-01	用户本人事后补述	docs/project-retrospective/v2/USER_INPUT_待填写.md	填写于2026-08-06，所述事件横跨07-10~07-30	全阶段	用户对7个问题的书面答复：装备语义推翻是玩出来的（玩家反馈「太憋屈」+手牌被卡）；A/B五项判据「没有测」「不需要测」；密度平铺14的三条判错症状+「后来想明白」；07-11与07-18~07-20「没在做这个项目」；「脑子重」与「全程不做选择」是分层不是矛盾；十份报告「『我』肯定都是我说的」	是（用户本人书写）	是	是	中（第一手回忆，但事后作答，无法交叉验证；且Q1第3问、Q2第2问、Q3第1问补充栏、Q5追问、Q6第2问共5处留空）	**归属一律标【用户明确提出·事后补述】并注明「事后回忆，非当时记录」；不计入一手原始记录统计**。与一手记录冲突时以一手为准，两说并列（本轮冲突1处：TU-95）
S-DOC-15	本地项目文件	docs/P2_交互重设计_线框与输入层改造清单.md	2026-07-12（文内）	P2 交互重设计	方案B废弃理由原文「锁定可逆与永久装备语义冲突」	否	是	是	高	交叉检索时发现，不在上一轮清单内；把 R-05 的证据等级从【项目记忆】升到【设计文档记载】
S-DOC-16	本地项目文件	docs/下一阶段_决策清单与任务计划.md	2026-07-08 起（文内）	P1/P2	P0-1 全自动炮台、P0-2 彻底砍掉行动次数的正式决策记录；§5 显示A/B判据原定在 P4/T3 执行	否	是	是	高	与 legacy/task-records/04、07、08 对照后得出 TU-84（07-08「决策」实为对07-03已验证结果的追认）
S-DOC-17	本地项目文件	docs/可玩原型_重启开发总计划.md	2026-07-12 起，多次修订	P4 重启	§0 两条铁律原文；S0–S7 完整阶段序列	否（文风为分析型长句，判为AI执笔）	是	是	中高	TU-85：观察归用户（RQ-2-01逐字），规则化命名归AI
S-DOC-18	本地项目文件	docs/S4a_经济拍板_provisional.md	2026-07-14（文内）	P4	用户化简决策范围的原话「只有Q5（拾取锚）有用，其余都从每分钟掉落期望派生，本轮不单独拍」	是（转引）	是	是	高	TU-86
S-DOC-19	本地项目文件	docs/P6_R1_手动调参环_执行计划.md	2026-07-12（文内）	P4/P6	§1、§5.2 显示30秒检查单仅四项数字分，无文字备注字段	否	是	是	中高	TU-87：为「动机记录普遍缺失」提供结构性解释（人只打分、不写理由）
S-DOC-20	本地项目文件 + GitHub	PR #5 完整 body（codex/fix-weapon-fusion → main，2026-07-28 合并）	2026-07-28	P7/P8	主炮形态融合正交轴设计与 impactShare=0.41416083945517623 的标定推导；三个功能性提交 9c0ae8a/146310e/09624d6	部分（用户三层追问原话见会话 local_bff8dcad）	是	是	高	上一轮 09_MISSING_EVIDENCE.md §8 称这是「本轮最大的内容缺口」，本轮已补（见 04b 与 04 案例 I）
S-V2-01	本轮中间产物	v2/13a_RAW_QUOTES_P1P2.md ～ 13d_RAW_QUOTES_P7P9.md	2026-08-06	全阶段	9份原始聊天记录的逐字汇编（31条用户原话）+ 对 TU-03~TU-41 的修正清单 + 三段动机空白的检索结果	是（转录一手）	是	是	高	00~10 的底稿，可逐条回溯到原始文件行号
S-V2-02	本轮中间产物	v2/11_CHATGPT_REPORT_AUDIT.md	2026-08-06	全阶段	十份 ChatGPT 报告 81 处第一人称叙述的逐处判定与可靠性评级	否	是	是	高	**已知内部不一致**：本文件总表记「报告6=错误1/夸大2、报告8=错误3」，而 12 的逐条判定为「报告6=C-02/C-03两处错误+C-01一处夸大、报告8=C-04一处错误」；错误总数同为4，但在两份报告间的分配不一致，原因是两者抽查粒度不同（81处 vs 13个主题）。下一轮需统一口径
S-V2-03	本轮中间产物	v2/12_CROSS_SOURCE_CONFLICTS.tsv	2026-08-06	全阶段	C-01~C-13 跨来源冲突逐条判定与处理建议	否	是	是	高	C-04（25格矩阵）为本次核查发现的最严重问题
S-V2-04	本轮中间产物	v2/14_USER_QUOTES_COWORK.md	2026-08-06	全阶段	32个 Cowork 会话的用户原话抢救 + §0.1 三段式AI协作流水线发现 + §5 三段动机空白的核查结论	是（转录一手）	是	是	高	含 S-COWORK2-01~32 来源ID对照表
S-V2-05	本轮中间产物	v2/15_LOCAL_DOCS_ADDENDUM.md	2026-08-06	P0~P6	本地一手文档补读；立项案vs最终形态对照表；6条与上一轮结论的比对（1矛盾/3补强/2新发现）；TU-80~87 草案	部分	是	是	高	TU-84（07-08决策实为对07-03已验证结果的追认）是本轮唯一一条真正意义上的新发现
S-V2-06	本轮中间产物	v2/04b_CASE_WEAPON_FUSION.md	2026-08-06	P7/P8	主炮融合案例全文（问题→建模→标定→验证），已并入 04 作为案例 I	部分	是	是	高	—
S-V2-07	本轮中间产物	v2/02b_THOUGHT_UNITS_ADDENDUM.tsv、02c_THOUGHT_UNITS_RAW_*.tsv	2026-08-06	全阶段	TU-44~55（Cowork补读）与 TU-101/201/301/401 段（ChatGPT原始记录）共32条新思考单元	是	是	是	高	已全部并入 02_USER_THOUGHT_UNITS.tsv
S-V2-08	本轮脚本	v2/scripts_build_02.py、v2/scripts_stats_02.py	2026-08-06	—	02 表的合并脚本与统计校验脚本（列数一致性、ID重复、归属标记计数、一手佐证占比）	否	是	是	高	附录中所有归属分布数字均由此实算，不估算；可复跑
